Id,Class
0,1
1,1
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,1
