A,P,L1,L2,Ec,C,EqD,Ex,S,SF,Class
78522.0,1076.493,430.96662832291724,233.04770300160405,0.8411796282309596,79158.0,316.19189668885326,0.8161012721376902,0.9919654362161753,0.5382873666388388,1
210260.0,1739.133,648.6103637168195,417.8989247233611,0.7647738002182071,213691.0,517.4082978422508,0.8233414521446976,0.9839441062094333,0.6363543413618402,5
46566.0,819.4419999999999,319.76245546487553,186.82041696633488,0.8115755370181108,46990.0,243.4947076224401,0.6489130434782608,0.9909768035752288,0.579861282837355,4
74795.0,1034.077,393.36132525309273,243.1153263897228,0.7861420693299841,75468.0,308.59674617284367,0.8024353610127669,0.9910823130333386,0.6154593421037823,1
54801.0,871.432,327.9575589760549,213.0951501150912,0.7601356525652379,55357.0,264.1492008146753,0.7302029340830657,0.9899561031125241,0.6487289986315774,2
30506.0,653.9739999999999,240.75165377761962,161.63642303113483,0.741111107358531,30904.0,197.08233191154116,0.7686454343882282,0.987121408231944,0.6701265525529722,6
46511.0,809.906,291.5589225548625,203.7821186905767,0.7151805606007593,47008.0,243.3508669908064,0.7459663191659984,0.9894273315180395,0.6966475633429645,4
36154.0,679.6959999999999,234.96809463559833,196.13597237237207,0.5506526428880432,36386.0,214.55233044727126,0.7842856523059569,0.9936239212884076,0.8337746407781157,2
43520.0,760.012,271.0670038372523,204.75146429799028,0.6553173184704878,43900.0,235.39622976350807,0.7925407925407926,0.9913439635535307,0.754129091229033,2
35320.0,693.884,257.06349179773133,175.42738269270487,0.730952608774695,35700.0,212.0632469808145,0.8078867311695144,0.9893557422969188,0.6805342834456619,6
32588.0,667.255,245.95499002221987,168.98450421396666,0.7266058035767295,32925.0,203.69666242682888,0.7596270396270396,0.9897646165527715,0.6858932834072123,6
34232.0,744.3290000000001,296.97315394535167,148.16748383153208,0.866644869762995,34936.0,208.77149253519767,0.6046026952083223,0.9798488664987406,0.49420599511386676,3
44856.0,792.403,298.99996529881804,191.74519903346763,0.7672999623771051,45416.0,238.98207677279996,0.6922222222222222,0.9876695437731196,0.6388345351314989,4
